Day,Air Temp Low (°C),Air Temp Mean (°C),Air Temp High (°C),Air Humid Low (%),Air Humid Mean (%),Air Humid High (%),Water Temp Low (°C),Water Temp Mean (°C),Water Temp High (°C),Water Humid Low (°C),Water Humid Mean (°C),Water Humid High (%),True Leaf Number,True Leaf Number SD,True Leaf Width,True Leaf Width SD,Number of Plants,Number of Plants SD,Canopy Coverage (cm²),Water Consumption (mL)
0,19.6,22.5,24.5,31.1,36.2,42.5,19,24.2,27.5,92.1,92.6,93,0,0,0,0,0,0,0,0
2,20.1,23.6,25.5,26.7,30.3,35.5,23.7,27.6,30.3,92.5,92.8,93,0,0,0,0,1.33,0.82,0.819335938,97.65
4,20.2,23.4,25.4,34.5,39.2,43.3,23.7,27.4,29.9,92.8,93.1,93.4,0,0,0,0,3.17,0.75,2.177001953,65.1
6,20.8,24.7,27,28.2,37.7,46.3,24.8,28.6,31.7,92.9,93.3,93.5,1.33,0.52,0.53,0.18,3.33,0.82,10.39990234,130.2
8,21.2,24.8,27,32.1,36.2,42.6,24.7,28.7,31.4,93.3,93.5,93.7,2,0,1.3,0.17,3.5,0.55,11.26513672,0
10,21,23.6,25.9,26.7,30.2,34.3,24.3,27.7,30.8,93.5,93.8,94,3.5,0.55,1.92,0.16,1,0,45.84667969,97.65
12,20.6,23.5,25.4,28.1,34.4,39.8,23.6,27.1,29.4,93.8,93.9,94.2,4.83,0.41,2.68,0.19,1,0,59.72119141,32.55
14,19.6,23,26.3,24,31.4,35.6,23.3,26.4,30.3,93.9,94.1,94.4,6.33,0.82,3.65,0.37,1,0,155.6437988,162.75
16,19.2,22.6,24.5,29.2,33.6,38.1,21.7,25,27.3,93.9,94.2,94.5,8.33,1.03,5.18,0.68,1,0,318.010498,325.5
18,18.5,21.5,23.9,24.5,31.2,35.5,21.2,23.7,26.3,94,94.3,94.6,10,0.89,6.93,0.57,1,0,471.7385254,325.5
20,18.7,21.8,23.9,29.5,33.6,38,20.7,23.6,25.8,94.1,94.4,94.6,12.17,1.47,8.33,0.74,1,0,650.4619141,358.05
22,21.7,24.1,25.3,35.2,43,53.3,23.7,25.8,27.3,94.1,94.4,94.6,13.67,0.82,9.62,0.81,1,0,754.0566406,488.25
24,18.7,21.1,22.8,40,43.3,47.5,21,23.2,25.3,94.3,94.5,94.7,14.5,1.38,9.78,0.58,1,0,636.8745117,423.15
26,18.7,21.7,24,41.5,47.8,53.5,21.8,23.9,26,94.3,94.6,94.9,15.83,2.14,9.75,1.16,1,0,698.5336914,390.6
28,18.7,21.2,23,42.5,47,51.8,21.8,23.9,26,94.3,94.6,94.9,17.33,2.5,10.52,1.1,1,0,689.6228027,390.6
